CL0,GPIO0
CL1,GPIO1
CL2,GPIO2
CL3,GPIO3
I2C_SDA,GPIO4
I2C_SCL,GPIO5
BUTTON_DOWN,GPIO6
BUTTON_A,GPIO7
BUTTON_B,GPIO8
BUTTON_C,GPIO9
BUTTON_UP,GPIO10
VBUS_DETECT,GPIO11
CHARGE_STAT,GPIO12
RTC_ALARM,GPIO13
BUTTON_RESET,GPIO14
BUTTON_INT,GPIO15
BUTTON_HOME,GPIO22
WL_ON,GPIO23
WL_D,GPIO24
WL_CS,GPIO25
LCD_BACKLIGHT,GPIO26
LCD_CS,GPIO27
LCD_RS,GPIO28
WL_CLK,GPIO29
LCD_WR,GPIO30
LCD_RD,GPIO31
LCD_DB0,GPIO32
LCD_DB1,GPIO33
LCD_DB2,GPIO34
LCD_DB3,GPIO35
LCD_DB4,GPIO36
LCD_DB5,GPIO37
LCD_DB6,GPIO38
LCD_DB7,GPIO39
VBAT_SENSE,GPIO40
POWER_EN,GPIO41
SENSE_1V1,GPIO42
LIGHT_SENSE,GPIO43